trials = 10, intial chaos = 0.8, agile

0,13918364919767;30;0,8;sinu
0,1220724151934;30;0,9;bernoulli
0,15656471752416;30;0,9;chebyshev
0,10036847926101;30;0,9;circle
1,5619098777514;30;0,9;gauss
0,13185571935354;30;0,9;logistic
0,14383185027839;30;0,9;sine
0,13444253878679;30;0,9;singer
0,13547382882036;30;0,9;sinu
0,20178660590019;40;0,1;bernoulli
0,12017053197324;40;0,1;chebyshev
0,2532035700671;40;0,1;circle
1,4277817967084;40;0,1;gauss
0,18502336739852;40;0,1;logistic
0,11642178414796;40;0,1;sine
0,10232844936824;40;0,1;singer
0,12421453319566;40;0,1;sinu
0,13308045389382;40;0,2;bernoulli
0,091850400479296;40;0,2;chebyshev
0,14105882816505;40;0,2;circle
1,5481719378466;40;0,2;gauss
0,10173230711931;40;0,2;logistic
0,11477794783586;40;0,2;sine
0,087836866231071;40;0,2;singer
0,11878753060668;40;0,2;sinu
0,13797538740273;40;0,3;bernoulli
0,10061092289072;40;0,3;chebyshev
0,097645024540647;40;0,3;circle
1,5428667832326;40;0,3;gauss
0,10160460592966;40;0,3;logistic
0,092704938259108;40;0,3;sine
0,098401001824634;40;0,3;singer
0,10028932953678;40;0,3;sinu
0,10270550942737;40;0,4;bernoulli
0,10750561466752;40;0,4;chebyshev
0,11479930935189;40;0,4;circle
1,5328603777832;40;0,4;gauss
0,11670810316041;40;0,4;logistic
0,097738150778195;40;0,4;sine
0,11997321974606;40;0,4;singer
0,11122998773194;40;0,4;sinu
0,12532455643659;40;0,5;bernoulli
0,10892369940995;40;0,5;chebyshev
0,10765223012999;40;0,5;circle
1,4041626756041;40;0,5;gauss
0,11482365401642;40;0,5;logistic
0,11604139431187;40;0,5;sine
0,1109587746636;40;0,5;singer
0,11871640965036;40;0,5;sinu
0,097501882047352;40;0,6;bernoulli
0,1251657843031;40;0,6;chebyshev
0,10741982164048;40;0,6;circle
1,558612352844;40;0,6;gauss
0,13109996279268;40;0,6;logistic
0,11324634689442;40;0,6;sine
0,11638008243922;40;0,6;singer
0,11338079443138;40;0,6;sinu
0,1102352427;40;0,7;bernoulli
0,12550634768133;40;0,7;chebyshev
0,10138019887181;40;0,7;circle
1,4095030744909;40;0,7;gauss
0,1350650741547;40;0,7;logistic
0,13070031910164;40;0,7;sine
0,13142650386365;40;0,7;singer
0,14357416244942;40;0,7;sinu
0,10849356192517;40;0,8;bernoulli
0,12888061336575;40;0,8;chebyshev
0,10958316237142;40;0,8;circle
1,3837249486667;40;0,8;gauss
0,12928318858774;40;0,8;logistic
0,12859630733842;40;0,8;sine
0,13311898067296;40;0,8;singer
0,13889933879435;40;0,8;sinu
0,10693244368386;40;0,9;bernoulli
0,14756104740035;40;0,9;chebyshev
0,10475740028773;40;0,9;circle
1,5046760046267;40;0,9;gauss
0,13430651146806;40;0,9;logistic
0,13651298494785;40;0,9;sine
0,1316386856969;40;0,9;singer
0,13515088813352;40;0,9;sinu
0,19061020195329;50;0,1;bernoulli
0,090301296003605;50;0,1;chebyshev
0,14238454587478;50;0,1;circle
1,2253718036969;50;0,1;gauss
0,085350314642745;50;0,1;logistic
0,1158050257441;50;0,1;sine
0,085246484358637;50;0,1;singer
0,07728377497098;50;0,1;sinu
0,14800519822928;50;0,2;bernoulli
0,093814630418441;50;0,2;chebyshev
0,10342782437264;50;0,2;circle
1,3457028336726;50;0,2;gauss
0,093225872791159;50;0,2;logistic
0,088432668134453;50;0,2;sine
0,092922094949233;50;0,2;singer
0,10157248272793;50;0,2;sinu
0,10096896418743;50;0,3;bernoulli
0,09792357155698;50;0,3;chebyshev
0,1027482228162;50;0,3;circle
1,2034151061582;50;0,3;gauss
0,10515647283591;50;0,3;logistic
0,10216403504414;50;0,3;sine
0,096354157487978;50;0,3;singer
0,10662666127318;50;0,3;sinu
0,12588053322252;50;0,4;bernoulli
0,10577458769525;50;0,4;chebyshev
0,096808712844579;50;0,4;circle
1,2817402924215;50;0,4;gauss
0,10702315866429;50;0,4;logistic
